Hall ticket (10th class),10th GPA,Govt/Private School,Caste,Gender,Mandal,District,State,Chance of Admit
1720104115,10,Private,BC-B,Male,Kallur,Kurnool,Ap,0.83
1722136839,10,Govt school,BC-B,Male,Galiveedu,Kadapa,Ap,0.98
1718124014,9.7,Govt school,BC-B,Female,Madanapalli ,Chittoor,Ap,0.93
1722136791,9.8,Govt school,SC,Male,Galiveedu,Kadapa,Ap,0.95
1722107642,9.8,Govt school,OC,Female,Vallur,Kadapa,Ap,0.9
1718133385,9.8,Govt school,OC,Female,Khambhamvaripalli,Annamaiah,Ap,0.9
1818132414,9.8,Govt school,OC,Male,Pulicherla,Chittoor,Ap,0.9
123456789,9.8,Govt school,BC-A,Male,Ameerpet,Hyderabad ,Telangana,0.9
1724103525,9.7,Govt school,OC,Male,Bathalapalli,Anantapur,Ap,0.85
1720137358,9.8,Govt school,SC,Male,Dhone,Kurnool,Ap,0.96
1718133219,10,Govt school,OC,Female,K.V.Palli,Chittoor,Ap,0.9
1724115311,9.7,Private,OC,Female,Parigi,Anthapuram,Ap,0.8
1717122448,9.7,Govt school,BC-B,Male,Jaladanki,Nellore,Ap,0.92
1720128188,9.7,Govt school,BC-A,Female,Adoni ,Kurnool ,Ap,0.9
1720120288,9.7,Govt school,BC-B,Female,Yemmiganur,Kurnool,Ap,0.91
1724102088,9.8,Govt school,BC-B,Male,Dharmavaram,Anantapur,Ap,0.92
1718120368,9.7,Govt school,BC-E,Female,Nimmanapalli,Chittoor,Ap,0.91
1723119010,9.7,Govt school,BC-B,Female,Uravakonda ,Ananthapur ,Ap,0.89
1717134656,10,Private,SC,Female,Sullurpet,Nellore,Ap,0.85
1820126629,9.8,Govt school,BC-B,Male,Adoni,Kurnool ,Ap,0.9
1723111821,9.7,Govt school,SC,Female,Atmakur,Anantapur,Ap,0.91
1717122933,9.5,Govt school,BC-E,Female,Atmakur,Nellore,Ap,0.82
1723119906,9.7,Govt school,OC,Male,D Hirehal ,Anantapur ,Ap,0.85
1724125064,9,Govt school,ST,Male,Gandlapenta,Sri sathya sai ,Ap,0.8
1724101187,9.7,Govt school,BC-B,Female,Dharmavaram,Anantapur,Ap,0.89
1720137373,9.7,Govt school,BC-A,Female,Dhone,Kurnool,Ap,0.88
1718125325,9.8,Govt school,BC-B,Female,Kurabalakota ,Chittoor ,Ap,0.91
1724123134,9.8,Govt school,BC-B,Female,Mudigubba,Anantapur ,Ap,0.92
1824125048,9.8,Govt school,BC-E,Male,Nambula pulakunta,Anantpur,Ap,0.92
1724118421,10,Govt school,BC-B,Female,Kothacheruvu,SathyaSai (Dist),Ap,0.99
1723127736,9,Govt school,BC-A,Female,Vajrakarur,Ananatapur,Ap,0.8
171712439,9.7,Govt school,BC-B,Male,Venkatachalam,Nellore,Ap,0.88
1719130634,9.8,Govt school,BC-B,Male,Nagari,Chittoor,Ap,0.93
1717131961,9.7,Govt school,SC,Male,Naidupet,Nellore,Ap,0.95
1718128082,10,Govt school,BC-A,Female,Thamballapalle,Chittoor,Ap,0.99
1724101391,10,Private,BC-B,Male,Dharmavaram,Sri Satya Sai district,Ap,0.8
1818127901,10,Govt school,OC,Female,Thamballapalli,Annamayya district,Ap,0.92
1819118508,9.7,Private,OC,Male,T.sundapalli,Kadapa,Ap,0.75
1818116160,9.5,Govt school,SC,Male,Punganur ,Chittoor ,Ap,0.89
2018103018,10,Private,OC,Male,kurnool,kurnool,Ap,0.8
1822124281,10,Private,OC,Male,Thondur,Kadapa ,Ap,0.8
1824101896,10,Govt school,BC-B,Female,Dharmavaram ,Ananthapur ,Ap,0.97
1820142220,9.8,Govt school,BC-E,Female,Kolimigundla ,Kurnool ,Ap,0.95
4119298,9.8,Govt school,BC-B,Female,Venkatagiri ,SPSR Nellore district ,Ap,0.95
1824127410,9.8,Govt school,OC,Female,Tadipatri,Ananthapur,Ap,0.87
1822121872,9.8,Govt school,OC,Female,Chapadu,YSR Cuddapah,Ap,0.88
1717114014,9.7,Govt school,BC-A,Male,Muthukur ,Nellore District ,Ap,0.85
1718128034,9.8,Govt school,BC-A,Female,Thamballapalle,Annamayya,Ap,0.9
1808122831,9.8,Govt school,BC-B,Male,kotananduru,East Godavari ,Ap,0.9
1819109135,9.8,Govt school,SC,Female,Nindra,Chittoor,Ap,0.93
1817117996,9.7,Govt school,SC,Female,Vidavalur,SPSR Nellore,Ap,0.9
1822100738,9.8,Govt school,OC,Male,Kadapa ,Kadapa ,Ap,0.85
1723109371,9.7,Govt school,BC-B,Male,Rapthadu,Anantapur,Ap,0.88
1822125085,9.8,Govt school,OC,Male,Kondapuram,Kadapa,Ap,0.88
1824113948,9.8,Govt school,OC,Male,Hindupur,Anantapur,Ap,0.88
1720122274,9.7,Govt school,BC-D,Male,Yemmiganur ,Kurnool ,Ap,0.89
1819109123,10,Govt school,BC-B,Female,Nindra,Chittoor,Ap,0.98
1818118491,10,Govt school,SC,Male,Chowdepalli,Chittoor,Ap,0.99
1822109820,9.8,Govt school,BC-D,Female,Brahmam gari mattam,Kadapa,Ap,0.9
1720123575,9.8,Private,BC-A,Female,Mantralayam,Kurnool,Ap,0.9
1717127123,10,Govt school,BC-D,Female,Duttalur,SPSR Nellore,Ap,0.99
1818129966,9.8,Govt school,OC,Female,Kalikiri,Chittoor,Ap,0.88
1720120372,9.8,Govt school,BC-B,Female,Yemmiganur,Kurnool,Ap,0.9
1819103811,10,Govt school,BC-B,Female,S. R. Puram,Chittoor,Ap,0.99
1709116273,9.7,Govt school,SC,Male,U Kothapalli,Kakinada,Ap,0.92
1819112115,9.8,Govt school,SC,Female,Srikalahasti ,Tirupati ,Ap,0.95
1817113534,9.7,Govt school,BC-B,Male,Muthukur,Nellore,Ap,0.9
1722127493,9.7,Govt school,OC,Female,Vempalli,Kadapa,Ap,0.85
1720120614,9.7,Govt school,BC-B,Female,Yemmiganur ,Kurnool ,Ap,0.89
1818127492,10,Govt school,BC-B,Female,Mulakalacheruvu,Annammayya(chittoor),Ap,0.99
1824105423,9.8,Govt school,BC-B,Female,Gorantla,Sathya sai ,Ap,0.92
1822124523,9.8,Govt school,BC-A,Female,Muddanur,Kadapa,Ap,0.93
1819100094,10,Govt school,OC,Female,Gollapalli,Chittoor,Ap,0.96
1824101534,10,Govt school,BC-B,Female,Dharmavaram,Ananthapuram,Ap,0.98
1817121096,9.8,Govt school,OC,Male,Kavali,Nellore,Ap,0.91
1717127167,9.8,Govt school,OC,Female,Duttalur,Nellore,Ap,0.92
1819113025,9.8,Govt school,BC-E,Female,Srikalahasthi,Chittoor,Ap,0.93
1717137809,9.8,Govt school,OC,Female,Podalakur,Nellore,Ap,0.89
1820143104,9.7,Govt school,SC,Male,Owk,Kurnool,Ap,0.94
1820128268,9.8,Govt school,BC-B,Male,Alur,Kurnool,Ap,0.93
1717127964,9.7,Govt school,OC,Female,Marripadu,Nellore,Ap,0.86
1824102700,10,Govt school,BC-B,Female,Dharmavarm,Satya sai,Ap,0.99
